word,cefr_level,frequency
the,A1,7.73
to,A1,7.43
and,A1,7.41
of,A1,7.4
a,A1,7.36
in,A1,7.27
i,A1,7.09
for,A1,7.01
that,A1,7.01
you,A1,6.98
it,A1,6.95
on,A1,6.91
with,A1,6.85
this,A1,6.82
be,A1,6.79
as,A1,6.77
have,A1,6.71
have,A1,6.71
at,A1,6.7
he,A1,6.69
not,A1,6.69
by,A1,6.66
but,A1,6.63
from,A1,6.63
my,A1,6.57
or,A1,6.54
we,A1,6.54
your,A1,6.53
all,A1,6.52
so,A1,6.52
his,A1,6.51
they,A1,6.5
me,A1,6.48
if,A1,6.47
one,A1,6.47
can,A1,6.46
will,A1,6.45
just,A1,6.43
like,A1,6.41
like,A1,6.41
about,A1,6.4
up,A1,6.39
out,A1,6.38
what,A1,6.38
when,A1,6.37
more,A1,6.36
do,A1,6.35
no,A1,6.35
no,A1,6.35
who,A1,6.34
their,A1,6.33
there,A1,6.31
her,A1,6.3
which,A1,6.3
time,A1,6.29
get,A1,6.28
would,A1,6.27
she,A1,6.26
new,A1,6.25
people,A1,6.25
how,A1,6.24
some,A1,6.2
also,A1,6.19
them,A1,6.19
now,A1,6.18
other,A1,6.16
its,A1,6.14
our,A1,6.14
than,A1,6.13
good,A1,6.12
only,A1,6.12
after,A1,6.11
first,A1,6.11
him,A1,6.11
into,A1,6.11
know,A1,6.1
see,A1,6.1
two,A1,6.1
make,A1,6.08
over,A1,6.08
think,A1,6.08
any,A1,6.07
then,A1,6.07
could,A1,6.06
back,A1,6.04
us,A1,6.04
want,A1,6.04
because,A1,6.03
go,A1,6.03
well,A1,6.03
way,A1,6.01
most,A1,6.0
much,A1,6.0
very,A1,6.0
where,A1,6.0
even,A1,5.99
should,A1,5.99
may,A1,5.98
here,A1,5.97
need,A1,5.97
really,A1,5.97
right,A1,5.96
work,A1,5.96
year,A1,5.96
day,A1,5.95
too,A1,5.95
before,A1,5.93
off,A1,5.93
why,A1,5.93
still,A1,5.92
take,A1,5.92
many,A1,5.91
never,A1,5.91
life,A1,5.89
say,A1,5.89
world,A1,5.89
down,A1,5.88
great,A1,5.88
through,A1,5.87
last,A1,5.86
best,A1,5.84
love,A1,5.82
man,A1,5.82
home,A1,5.81
long,A1,5.81
look,A1,5.81
something,A1,5.81
use,A1,5.81
same,A1,5.8
both,A1,5.79
every,A1,5.79
come,A1,5.78
part,A1,5.78
three,A1,5.78
around,A1,5.77
between,A1,5.77
always,A1,5.76
better,A1,5.76
find,A1,5.76
help,A1,5.75
high,A1,5.75
little,A1,5.75
old,A1,5.75
another,A1,5.74
own,A1,5.74
under,A1,5.73
during,A1,5.72
game,A1,5.72
thing,A1,5.72
give,A1,5.71
house,A1,5.71
place,A1,5.71
school,A1,5.71
again,A1,5.7
next,A1,5.7
next,A1,5.7
each,A1,5.69
without,A1,5.69
end,A1,5.68
must,A1,5.68
show,A1,5.68
big,A1,5.67
feel,A1,5.67
sure,A1,5.67
team,A1,5.67
ever,A1,5.66
family,A1,5.66
keep,A1,5.66
please,A1,5.66
put,A1,5.66
money,A1,5.64
free,A1,5.63
second,A1,5.63
someone,A1,5.63
away,A1,5.62
left,A1,5.62
number,A1,5.62
number,A1,5.62
city,A1,5.61
lot,A1,5.61
name,A1,5.61
night,A1,5.61
play,A1,5.61
